,Democratic,Other,Population,Republican,White
1,146138,12836,686375,132150,349342
2,83659,13419,685578,246033,532793
3,254201,6767,679790,26966,122082
4,100334,4302,705164,150603,382583
5,157962,13972,697981,144661,378778
6,104861,9937,678389,201901,474897
7,51364,7721,681557,192507,544295
8,98812,9752,697045,174964,426074
9,95636,5661,686015,158219,410539
10,185437,6782,702708,120204,291086
11,132204,8971,696352,158663,415043
12,125350,6237,702848,144666,373038
13,231613,11801,688697,86025,294476
14,110094,7183,699154,151952,418894
