,Democratic,Other,Population,Republican,White
1,98564,6495,692210,154147,425690
2,137573,4463,698880,111329,297400
3,101156,8912,686282,197151,466355
4,116748,9208,693466,185556,455147
5,256996,9546,684958,36361,193869
6,156160,16269,697295,160774,436042
7,226629,7641,688429,79287,211836
8,117689,7353,683250,147355,382854
9,57771,8639,693876,231771,550994
10,133371,11927,705448,143228,330385
11,116328,14152,688956,197259,473143
12,94670,6143,704154,173802,437224
13,209778,7240,689567,82754,213599
14,54232,7353,680882,188740,539382
