,Democratic,Other,Population,Republican,White
1,142983,12409,685795,122433,328661
2,87814,13984,701895,251682,545684
3,183836,6620,683168,117210,283002
4,100334,4302,705164,150603,382583
5,153807,13407,681664,139012,365887
6,106363,9576,681525,195601,465955
7,51364,7721,681557,192507,544295
8,108771,10866,693977,181126,435982
9,109155,7165,680378,148014,408267
10,254300,7290,696194,36260,139108
11,125400,8284,700000,162218,425816
12,125350,6237,702848,144666,373038
13,231613,11801,688697,86025,294476
14,96575,5679,704791,162157,421166
