,Democratic,Other,Population,Republican,White
1,215147,9403,685155,82025,240888
2,123213,12620,681730,162483,379558
3,99934,4276,695854,147513,374930
4,130682,7795,702899,165803,389615
5,157739,13682,685979,138802,366974
6,252218,6817,687281,27866,125598
7,51364,7721,681557,192507,544295
8,113858,7752,704810,164222,440952
9,95498,6569,696235,156961,433571
10,187420,6732,695217,119304,287570
11,64842,9768,697441,233657,541300
12,100018,8361,678741,181299,458401
13,157057,16394,704286,167685,453170
14,128675,7451,690468,149387,377098
